UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Partido_Ministro_Partido_Governador,UFMinistro_Ufdestino,Vl_Liberado
SP,SAO PAULO,MINISTERIO DA JUSTICA,2013,nao,sim,49300331.31
SP,SAO PAULO,MINISTERIO DA JUSTICA,2013,nao,sim,54969303.4
SP,SAO PAULO,MINISTERIO DA JUSTICA,2013,nao,sim,56043291.2
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2013,nao,sim,440000
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2013,nao,sim,138888.89
CE,FORTALEZA,MINISTERIO DA INTEGRACAO NACIONAL,2014,nao,sim,4277556
SC,FLORIANOPOLIS,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2013,nao,sim,1163448.33
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2013,nao,sim,3952785.29
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2013,nao,sim,4109926.15
SP,CAMPINAS,MINISTERIO DA EDUCACAO,2013,nao,sim,330000
SP,CAMPINAS,MINISTERIO DA EDUCACAO,2014,nao,sim,3650617.71
MG,BELO HORIZONTE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2013,nao,sim,738588.51
CE,FORTALEZA,MINISTERIO DA INTEGRACAO NACIONAL,2014,nao,sim,5810326
MG,BELO HORIZONTE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2013,nao,sim,9961735.63
SP,SAO JOSE DO RIO PRETO,MINISTERIO DA EDUCACAO,2014,nao,sim,176578
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2013,nao,sim,325720466.74
SP,SAO PAULO,MINISTERIO DA CULTURA,2013,nao,sim,20075168.76
SP,SAO PAULO,MINISTERIO DA SAUDE,2014,nao,sim,250000
SP,CAMPINAS,MINISTERIO DA SAUDE,2013,nao,sim,4215364
SP,CAMPINAS,MINISTERIO DA SAUDE,2013,nao,sim,649162
SP,CAMPINAS,MINISTERIO DA SAUDE,2013,nao,sim,222500
SP,SAO PAULO,MINISTERIO DA SAUDE,2013,nao,sim,659764.55
SP,SAO PAULO,MINISTERIO DA SAUDE,2013,nao,sim,3806319.64
SP,CAMPINAS,MINISTERIO DA SAUDE,2013,nao,sim,222500
SP,CAMPINAS,MINISTERIO DA SAUDE,2013,nao,sim,555740
SP,CAMPINAS,MINISTERIO DA SAUDE,2014,nao,sim,222223
SP,SAO PAULO,MINISTERIO DA JUSTICA,2013,nao,sim,56104302.95
SP,SAO PAULO,MINISTERIO DA JUSTICA,2013,nao,sim,52934921.35
SP,SAO PAULO,MINISTERIO DA JUSTICA,2013,nao,sim,44024044.14
SP,SAO PAULO,MINISTERIO DA JUSTICA,2013,nao,sim,43545933.45
SP,SAO PAULO,MINISTERIO DO ESPORTE,2013,nao,sim,16265.74
SP,SAO PAULO,MINISTERIO DO ESPORTE,2013,nao,sim,16426.41
SP,SAO PAULO,MINISTERIO DA SAUDE,2013,nao,sim,434000
SP,CAMPINAS,MINISTERIO DA SAUDE,2013,nao,sim,454445
SP,CAMPINAS,MINISTERIO DA SAUDE,2013,nao,sim,158945
SP,SAO PAULO,MINISTERIO DA SAUDE,2014,nao,sim,610000
SP,GUARULHOS,MINISTERIO DA SAUDE,2013,nao,sim,5562000
SP,CAMPINAS,MINISTERIO DA SAUDE,2014,nao,sim,342051.17
SP,CAMPINAS,MINISTERIO DA SAUDE,2014,nao,sim,179650
SP,SAO PAULO,MINISTERIO DA SAUDE,2013,nao,sim,771955
SP,BOTUCATU,MINISTERIO DA SAUDE,2013,nao,sim,7303180.12
